,,,,
data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov,data.HRSA.gov
"Selected Filters: 2021-2022 / M.D., Obstetrics and Gynecology (County Level File) / Population, All (County Level File)",,,,
State/Territory,"M.D., Obstetrics and Gynecology (County Level File)","Population, All (County Level File)","Rate (per 100,000 population)",Source
Alabama,508,5039877,10.08,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Alaska,88,732673,12.01,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Arizona,736,7276316,10.12,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Arkansas,269,3025891,8.89,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
California,4941,39237836,12.59,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Colorado,728,5812069,12.53,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Connecticut,688,3605597,19.08,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Delaware,104,1003384,10.36,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
District of Columbia,225,670050,33.58,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Florida,2365,21781128,10.86,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Georgia,1351,10799566,12.51,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Guam,10,168801,5.92,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Hawaii,228,1441553,15.82,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Idaho,140,1900923,7.36,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Illinois,1693,12671469,13.36,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Indiana,671,6805985,9.86,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Iowa,221,3193079,6.92,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Kansas,295,2934582,10.05,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Kentucky,467,4509394,10.36,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Louisiana,717,4624047,15.51,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Maine,147,1372247,10.71,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Maryland,1016,6165129,16.48,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Massachusetts,1054,6984723,15.09,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Michigan,1261,10050811,12.55,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Minnesota,689,5707390,12.07,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Mississippi,299,2949965,10.14,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Missouri,685,6168187,11.11,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Montana,108,1104271,9.78,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Nebraska,228,1963692,11.61,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Nevada,288,3143991,9.16,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
New Hampshire,172,1388992,12.38,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
New Jersey,1287,9267130,13.89,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
New Mexico,219,2115877,10.35,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
New York,3208,19835913,16.17,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
North Carolina,1277,10551162,12.10,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
North Dakota,81,774948,10.45,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Ohio,1348,11780017,11.44,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Oklahoma,309,3986639,7.75,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Oregon,575,4246155,13.54,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Pennsylvania,1567,12964056,12.09,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Puerto Rico,427,3263584,13.08,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Rhode Island,184,1095610,16.79,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
South Carolina,606,5190705,11.67,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
South Dakota,80,895376,8.93,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Tennessee,824,6975218,11.81,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Texas,3284,29527941,11.12,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
U.S. Virgin Islands,15,,,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Utah,321,3337975,9.62,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Vermont,98,645570,15.18,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Virginia,1095,8642274,12.67,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Washington,773,7738692,9.99,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
West Virginia,178,1782959,9.98,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Wisconsin,596,5895908,10.11,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
Wyoming,55,578803,9.50,AMA Physician Masterfile 2020; Census County Pop. Estimates 2021
,,,,
,,,,
Note: Blank cells indicate that data are not available.,,,,
