"FIPS","Year","State Name","MD's, NF, Ob-Gyn, General, Total","Population Estimate"
"01000","2014","Alabama","520","4849377"
"01000","2015","Alabama","522","4858979"
"01000","2016","Alabama","517","4863300"
"01000","2017","Alabama","496","4874747"
"02000","2014","Alaska","76","736732"
"02000","2015","Alaska","76","738432"
"02000","2016","Alaska","75","741894"
"02000","2017","Alaska","76","739795"
"04000","2014","Arizona","688","6731484"
"04000","2015","Arizona","681","6828065"
"04000","2016","Arizona","685","6931071"
"04000","2017","Arizona","703","7016270"
"05000","2014","Arkansas","259","2966369"
"05000","2015","Arkansas","245","2978204"
"05000","2016","Arkansas","248","2988248"
"05000","2017","Arkansas","251","3004279"
"06000","2014","California","4697","38802500"
"06000","2015","California","4723","39144818"
"06000","2016","California","4710","39250017"
"06000","2017","California","4748","39536653"
"08000","2014","Colorado","670","5355866"
"08000","2015","Colorado","666","5456574"
"08000","2016","Colorado","684","5540545"
"08000","2017","Colorado","685","5607154"
"09000","2014","Connecticut","702","3596677"
"09000","2015","Connecticut","709","3590886"
"09000","2016","Connecticut","693","3576452"
"09000","2017","Connecticut","684","3588184"
"10000","2014","Delaware","87","935614"
"10000","2015","Delaware","93","945934"
"10000","2016","Delaware","97","952065"
"10000","2017","Delaware","99","961939"
"11000","2014","Dist. of Columbia","199","658893"
"11000","2015","Dist. of Columbia","203","672228"
"11000","2016","Dist. of Columbia","212","681170"
"11000","2017","Dist. of Columbia","218","693972"
"12000","2014","Florida","2081","19893297"
"12000","2015","Florida","2108","20271272"
"12000","2016","Florida","2131","20612439"
"12000","2017","Florida","2194","20984400"
"13000","2014","Georgia","1256","10097343"
"13000","2015","Georgia","1247","10214860"
"13000","2016","Georgia","1239","10310371"
"13000","2017","Georgia","1250","10429379"
"15000","2014","Hawaii","198","1419561"
"15000","2015","Hawaii","189","1431603"
"15000","2016","Hawaii","199","1428557"
"15000","2017","Hawaii","207","1427538"
"16000","2014","Idaho","140","1634464"
"16000","2015","Idaho","133","1654930"
"16000","2016","Idaho","126","1683140"
"16000","2017","Idaho","130","1716943"
"17000","2014","Illinois","1749","12880580"
"17000","2015","Illinois","1742","12859995"
"17000","2016","Illinois","1731","12801539"
"17000","2017","Illinois","1693","12802023"
"18000","2014","Indiana","658","6596855"
"18000","2015","Indiana","652","6619680"
"18000","2016","Indiana","646","6633053"
"18000","2017","Indiana","662","6666818"
"19000","2014","Iowa","214","3107126"
"19000","2015","Iowa","207","3123899"
"19000","2016","Iowa","208","3134693"
"19000","2017","Iowa","212","3145711"
"20000","2014","Kansas","288","2904021"
"20000","2015","Kansas","277","2911641"
"20000","2016","Kansas","277","2907289"
"20000","2017","Kansas","279","2913123"
"21000","2014","Kentucky","431","4413457"
"21000","2015","Kentucky","427","4425092"
"21000","2016","Kentucky","434","4436974"
"21000","2017","Kentucky","452","4454189"
"22000","2014","Louisiana","678","4649676"
"22000","2015","Louisiana","685","4670724"
"22000","2016","Louisiana","685","4681666"
"22000","2017","Louisiana","693","4684333"
"23000","2014","Maine","150","1330089"
"23000","2015","Maine","151","1329328"
"23000","2016","Maine","146","1331479"
"23000","2017","Maine","144","1335907"
"24000","2014","Maryland","994","5976407"
"24000","2015","Maryland","995","6006401"
"24000","2016","Maryland","978","6016447"
"24000","2017","Maryland","953","6052177"
"25000","2014","Massachusetts","1020","6745408"
"25000","2015","Massachusetts","1021","6794422"
"25000","2016","Massachusetts","1025","6811779"
"25000","2017","Massachusetts","994","6859819"
"26000","2014","Michigan","1268","9909877"
"26000","2015","Michigan","1238","9922576"
