State|1990\1\|2000\2\|2005\2\|2010\2\|2015\2\|2016\2\|2017\2\|2018\2\|2019\2\|2021\2
United States|"$63,600"|"$68,500"|"$64,300"|(90)|"$62,300"|(50)|"$63,800"|(60)|"$65,100"|(80)|"$66,700"|(60)|"$66,800"|(60)|"$69,600"|(80)|"$69,700"|(80)
Alabama |"49,900"|"55,700"|"51,300"|(450)|"50,400"|(360)|"51,200"|(520)|"52,200"|(460)|"53,200"|(520)|"53,800"|(510)|"54,800"|(390)|"53,900"|(470)
Alaska|"87,600"|"84,100"|"78,200"|"(1,530)"|"80,400"|"(1,580)"|"83,900"|"(1,610)"|"86,300"|"(1,530)"|"80,900"|"(1,770)"|"80,200"|"(1,500)"|"80,000"|"(1,740)"|"77,800"|"(1,310)"
Arizona |"58,300"|"66,200"|"61,600"|(550)|"58,300"|(400)|"58,900"|(300)|"60,500"|(440)|"62,500"|(350)|"63,900"|(480)|"65,800"|(290)|"69,100"|(420)
Arkansas|"44,700"|"52,500"|"48,700"|(510)|"47,700"|(490)|"48,000"|(330)|"50,100"|(630)|"50,700"|(510)|"50,800"|(470)|"51,900"|(560)|"52,500"|(610)
California|"75,700"|"77,500"|"74,600"|(270)|"71,900"|(270)|"73,800"|(270)|"76,500"|(240)|"79,400"|(200)|"81,200"|(210)|"85,200"|(200)|"84,900"|(330)
Colorado |"63,800"|"77,000"|"70,400"|(470)|"67,300"|(550)|"73,100"|(620)|"74,200"|(440)|"76,400"|(520)|"77,600"|(430)|"81,700"|(510)|"82,300"|(480)
Connecticut |"88,300"|"88,000"|"84,800"|(690)|"79,700"|(830)|"81,600"|(540)|"82,900"|(730)|"82,000"|(900)|"82,400"|(600)|"83,500"|(870)|"83,800"|(680)
Delaware |"73,800"|"77,300"|"73,000"|"(1,200)"|"69,500"|"(1,130)"|"70,100"|"(890)"|"69,700"|"(1,020)"|"69,500"|"(1,660)"|"69,900"|"(1,030)"|"74,400"|"(1,050)"|"71,100"|"(1,090)"
District of Columbia|"65,000"|"65,500"|"65,700"|"(1,640)"|"75,800"|"(1,170)"|"86,500"|"(1,730)"|"85,200"|"(2,340)"|"91,000"|"(1,780)"|"91,900"|"(2,240)"|"97,800"|"(1,610)"|"90,100"|"(2,110)"
Florida |"58,100"|"63,300"|"59,000"|(230)|"55,300"|(250)|"56,500"|(230)|"57,400"|(170)|"58,100"|(240)|"59,800"|(250)|"62,800"|(290)|"63,100"|(260)
Georgia |"61,400"|"69,200"|"63,400"|(370)|"57,800"|(360)|"58,600"|(260)|"60,500"|(490)|"62,100"|(380)|"63,400"|(470)|"65,700"|(280)|"66,600"|(430)
